Broj,Kupac naziv,Adresa,Mjesto,OIB kupca,"Nadnevak
(datum izdavanja raèuna)",Datum predviðene isporuke,Vrijeme izrade,Dospijeæe plaæanja,Usluga ili proizvod,JM,Kolièina,Cijena,Rabat,Iznos,Usluga ili proizvod 2,JM 2,Kolièina 2,Cijena 2,Rabat 2,Iznos 2,Usluga ili proizvod 3,JM 3,Kolièina 3,Cijena 3,Rabat 3,Iznos 3,Usluga ili proizvod  4,JM 4,Kolièina 4,Cijena 4,Rabat 4,Iznos 4,Usluga ili proizvod 5,JM 5,Kolièina 5,Cijena 5,Rabat 5,Iznos 5,UKUPNO Iznos (1+5),Napomena,Napomena predujam,"Iznos naplaæen
  GOTOVINOM
","Iznos naplaæen 
VIRMANSKI
preko raèuna","Broj
-izvoda-uplatnice","Nadnevak
datum uplate",,,,,,,
797-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
798-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
799-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
800-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
801-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
802-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
803-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
804-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
805-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
806-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
807-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
808-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
809-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
810-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
811-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
812-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
813-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
814-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
815-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
816-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
817-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
818-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
819-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
820-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
821-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
822-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
823-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
824-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
825-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
826-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
827-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
828-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
829-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
830-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
831-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
832-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
833-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
834-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
835-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
836-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
837-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
838-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
839-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
840-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
841-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
842-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
843-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
844-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
845-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
846-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
847-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
848-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
849-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
850-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
851-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
852-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
853-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
854-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
855-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
856-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
857-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
858-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
859-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
860-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
861-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
862-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
863-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
864-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
865-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
866-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
867-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
868-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
869-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
870-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
871-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
872-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
873-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
874-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
875-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
876-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
877-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
878-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
879-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
880-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
881-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
882-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
883-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
884-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
885-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
886-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
887-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
888-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
889-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
890-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
